* Sample of n-grams (top 50,000 words, where the first word in the string starts with "m")
* This sample data is taken from the one billion word Corpus of Contemporary American English (COCA)
(www.english-corpora.org/coca), which is the only corpus of English that is large, up-to-date, and is based on a wide range of genres.
* For complete n-grams data from COCA, please see https://www.ngrams.info
* For an explanation of the columns below, see https://www.wordfrequency.info/files.asp. This is format #2 on that page.
----- Before converting file to Excel, remove the first seven lines, with the first line being the one starting with "rank"

29207	m	)	(	m	z	)	(	z
51	majority	of	people	with	n	i	n	i
51	majority	of	them	have	n	i	p	v
51	make	,	like	,	v	,	r	,
51	make	a	buck	,	v	a	n	y
51	make	a	difference	!	v	a	n	y
51	make	a	federal	case	v	a	j	n
51	make	a	right	,	v	a	n	y
51	make	an	emergency	landing	v	a	n	v
51	make	an	immediate	impact	v	a	j	n
51	make	it	extremely	difficult	v	p	r	j
51	make	it	home	.	v	p	r	.
51	make	it	interesting	.	v	p	j	y
51	make	it	through	,	v	p	r	y
51	make	it	worse	for	v	p	j	i
51	make	me	lose	my	v	p	v	a
51	make	more	sense	if	v	d	n	c
51	make	most	of	their	v	d	i	a
51	make	one	hell	of	v	m	n	i
51	make	people	feel	better	v	n	v	r
51	make	some	changes	.	v	d	n	.
51	make	some	sense	out	v	d	n	i
51	make	sure	we	did	v	j	p	v
51	make	that	two	.	v	c	m	.
51	make	the	front	page	v	a	j	n
51	make	the	grade	.	v	a	n	y
51	make	this	happen	,	v	d	v	,
51	make	you	cry	.	v	p	v	y
51	make	yourself	comfortable	.	v	p	j	y
51	makes	a	whole	lot	v	a	j	n
51	makes	me	cry	.	v	p	n	y
51	makes	me	sick	,	v	p	j	y
51	makes	me	uncomfortable	.	v	p	j	.
51	makes	no	difference	whether	v	a	n	c
51	makes	you	think	.	v	p	v	y
51	makes	you	think	.	v	p	v	.
51	making	fun	of	them	v	n	i	p
51	making	her	the	first	v	p	a	m
51	making	his	first	start	v	a	m	n
51	making	me	look	bad	v	p	n	j
51	making	so	much	noise	v	r	d	n
51	making	sure	we	have	v	j	p	v
51	male	members	of	the	j	n	i	a
51	males	were	more	likely	n	v	r	j
51	mama	,	"	she	n	y	y	p
51	mama	,	it	's	n	,	p	v
51	man	!	you	know	n	!	p	v
51	man	"	or	"	n	y	c	y
51	man	's	body	,	n	g	n	y
51	man	's	chest	.	n	g	n	y
51	man	.	'	<p>	n	y	"	y
51	man	.	-	fuck	n	.	-	v
51	man	.	so	i	n	.	r	p
51	man	.	we	can	n	.	p	v
51	man	asked	.	"	n	v	y	y
51	man	at	the	door	n	i	a	n
51	man	i	ever	met	n	p	r	v
51	man	in	a	business	n	i	a	n
51	man	in	a	gray	n	i	a	j
51	man	in	his	30s	n	i	a	m
51	man	of	your	word	n	i	a	n
51	man	out	of	his	n	i	i	a
51	man	who	knows	his	n	p	v	a
51	man	who	ran	the	n	p	v	a
51	managed	to	come	up	v	t	v	r
51	management	of	natural	resources	n	i	j	n
51	manager	at	the	time	n	i	a	n
51	mandi	wright	,	detroit	n	n	,	n
51	manifested	itself	in	the	v	p	i	a
51	mankind	danced	to	the	n	v	i	a
51	manner	of	speaking	,	n	i	v	,
51	many	different	levels	.	d	j	n	y
51	many	do	not	.	d	v	x	y
51	many	in	the	united	d	i	a	n
51	many	of	her	peers	d	i	a	n
51	many	of	the	decisions	d	i	a	n
51	many	of	the	more	d	i	a	d
51	many	of	the	posts	d	i	a	n
51	many	of	their	own	d	i	a	d
51	many	of	them	say	d	i	p	v
51	many	of	us	find	d	i	p	v
51	many	other	places	,	d	j	n	y
51	many	others	.	"	d	n	y	y
51	many	people	are	willing	d	n	v	j
51	many	people	as	they	d	n	c	p
51	many	people	over	the	d	n	i	a
51	many	people	were	in	d	n	v	i
51	many	states	,	including	d	n	y	i
51	many	things	.	"	d	n	y	y
51	many	times	,	he	d	n	y	p
51	many	times	must	i	d	n	v	p
51	many	who	do	n't	d	p	v	x
51	many	years	.	so	d	n	y	r
51	many	years	.	the	d	n	.	a
51	map	of	the	middle	n	i	a	j
51	march	10	,	2012	n	m	y	m
51	march	30	,	2010	n	m	y	m
51	marian	wright	edelman	,	n	n	n	y
51	marietta	,	ga	,	n	y	n	y
51	marine	lance	cpl	.	j	n	n	y
51	mark	,	get	set	n	,	v	n
51	market	.	there	are	n	y	e	v
51	marketplace	.	<p>	the	n	y	y	a
51	married	.	"	"	v	y	y	y
51	married	.	that	's	j	.	d	v
51	marry	her	.	"	v	p	y	y
51	marshall	said	.	"	n	v	y	y
51	maryland	and	virginia	,	n	c	n	y
51	mass	media	,	and	j	n	y	c
51	master	's	thesis	,	n	g	n	,
51	materials	,	such	as	n	,	i	i
51	mathematics	(	stem	)	n	y	n	y
51	matt	!	matt	!	n	!	n	!
51	matter	.	<p>	"	v	y	y	y
51	matter	.	if	you	n	y	c	p
51	matter	how	hard	she	r	r	r	p
51	matter	how	much	you	v	r	d	p
51	matter	if	you	do	v	c	p	v
51	matter	of	days	,	n	i	n	,
51	matter	what	,	you	d	d	,	p
51	matter	what	she	did	d	d	p	v
51	matter	what	your	age	d	d	a	n
51	matter	where	you	are	n	r	p	v
51	maximize	the	value	of	v	a	n	i
51	may	19	,	2019	n	m	,	m
51	may	also	be	true	v	r	v	j
51	may	also	explain	why	v	r	v	r
51	may	be	a	time	v	v	a	n
51	may	be	drawn	from	v	v	v	i
51	may	be	effective	in	v	v	j	i
51	may	be	in	your	v	v	i	a
51	may	be	ready	for	v	v	j	i
51	may	be	right	that	v	v	j	c
51	may	be	stored	in	v	v	v	i
51	may	be	subjected	to	v	v	v	i
51	may	be	the	source	v	v	a	n
51	may	be	used	against	v	v	v	i
51	may	come	and	go	v	v	c	v
51	may	come	out	of	v	v	i	i
51	may	come	to	be	v	v	t	v
51	may	feel	that	they	v	v	c	p
51	may	god	continue	to	n	n	v	t
51	may	god	have	mercy	v	n	v	n
51	may	have	changed	,	v	v	v	y
51	may	not	always	agree	v	x	r	v
51	may	not	be	far	v	x	v	r
51	may	not	get	it	v	x	v	p
51	may	not	have	understood	v	x	v	v
51	may	not	know	much	v	x	v	r
51	may	say	that	the	v	v	c	a
51	maybe	he	's	been	r	p	v	v
51	maybe	he	just	wants	r	p	r	v
51	maybe	he	needs	to	r	p	v	t
51	maybe	i	'm	in	r	p	v	i
51	maybe	i	wanted	to	r	p	v	t
51	maybe	if	i	was	r	c	p	v
51	maybe	if	you	could	r	c	p	v
51	maybe	it	is	not	r	p	v	x
51	maybe	next	time	i	r	m	n	p
51	maybe	next	year	.	r	m	n	.
51	maybe	she	was	right	r	p	v	j
51	maybe	that	was	what	r	d	v	d
51	maybe	this	is	not	r	d	v	x
51	maybe	we	could	make	r	p	v	v
51	maybe	you	're	in	r	p	v	i
51	maybe	you	can	take	r	p	v	v
51	maybe	you	could	be	r	p	v	v
51	maybe	you	got	a	r	p	v	a
51	maybe	you	should	read	r	p	v	v
51	mcqueen	,	abc	news	n	y	n	n
51	me	!	get	it	p	!	v	p
51	me	,	"	it	p	,	"	p
51	me	,	and	all	p	,	c	d
51	me	,	and	for	p	,	c	i
51	me	,	and	so	p	,	c	r
51	me	,	and	there	p	,	c	e
51	me	,	either	,	p	y	r	y
51	me	,	he	thought	p	y	p	v
51	me	,	her	face	p	y	a	n
51	me	,	i	believe	p	y	p	v
51	me	,	let	's	p	y	v	v
51	me	,	officer	.	p	,	n	.
51	me	,	she	thought	p	y	p	v
51	me	,	that	means	p	y	d	v
51	me	,	that	would	p	y	d	v
51	me	,	they	'd	p	y	p	v
51	me	,	we	've	p	,	p	v
51	me	,	why	do	p	y	r	v
51	me	,	you	guys	p	,	p	n
51	me	.	-	i	#	#	-	m
51	me	.	<p>	why	p	y	y	r
51	me	.	bye	.	p	.	u	.
51	me	.	first	,	p	y	m	y
51	me	.	go	!	p	.	v	!
51	me	.	guys	,	p	.	n	,
51	me	.	i	?	p	.	p	?
51	me	.	i	needed	p	y	p	v
51	me	.	i	say	p	y	p	v
51	me	.	just	do	p	.	r	v
51	me	.	take	a	p	.	v	a
51	me	.	the	first	p	.	a	m
51	me	.	they	had	p	y	p	v
51	me	.	they	think	p	.	p	v
51	me	.	they	want	p	.	p	v
51	me	.	what	have	p	.	d	v
51	me	.	you	okay	p	.	p	r
51	me	?	"	her	p	y	y	a
51	me	?	#	#	p	?	f	f
51	me	?	but	i	p	?	c	p
51	me	?	i	did	p	y	p	v
51	me	?	what	am	p	?	d	v
51	me	a	few	hours	p	a	d	n
51	me	about	how	i	p	i	r	p
51	me	about	the	first	p	i	a	m
51	me	all	night	long	p	d	n	r
51	me	alone	,	"	p	j	y	y
51	me	and	a	couple	p	c	a	n
51	me	and	for	my	p	c	i	a
51	me	and	my	best	p	c	a	j
51	me	and	tells	me	p	c	v	p
51	me	br	?	l	p	n	?	z
51	me	down	,	i	p	r	y	p
51	me	down	the	hall	p	r	a	n
51	me	feel	a	bit	p	n	r	r
51	me	for	this	,	p	i	d	,
51	me	go	,	i	p	n	,	p
51	me	help	you	,	p	n	p	,
51	me	here	,	and	p	r	y	c
51	me	how	i	should	p	r	p	v
51	me	how	much	she	p	r	d	p
51	me	i	'm	gon	p	p	v	v
51	me	in	trouble	.	p	i	n	y
51	me	it	's	about	p	p	v	i
51	me	it	looks	like	p	p	v	i
51	me	just	interrupt	you	p	r	v	p
51	me	just	start	with	p	r	v	i
51	me	just	take	a	p	r	v	a
51	me	last	week	.	p	m	n	.
51	me	laugh	so	hard	p	n	r	r
51	me	like	this	,	p	i	d	y
51	me	not	to	have	p	x	t	v
51	me	of	a	time	p	i	a	n
51	me	off	guard	.	p	r	r	y
51	me	on	my	first	p	i	a	m
51	me	on	the	edge	p	i	a	n
51	me	out	here	,	p	r	r	y
51	me	out	with	a	p	r	i	a
51	me	over	.	i	p	r	y	p
51	me	over	.	i	p	r	.	p
51	me	personally	.	i	p	r	y	p
51	me	show	you	a	p	v	p	a
51	me	stop	you	.	p	n	p	.
51	me	that	.	oh	p	d	.	u
51	me	that	the	world	p	c	a	n
51	me	to	buy	you	p	t	v	p
51	me	to	help	with	p	t	v	i
51	me	to	sign	a	p	t	v	a
51	me	to	stick	around	p	t	v	r
51	me	to	the	emergency	p	i	a	n
51	me	to	understand	why	p	t	v	r
51	me	two	years	ago	p	m	n	r
51	me	up	.	it	p	r	y	p
51	me	what	i	would	p	d	p	v
51	me	with	him	.	p	i	p	.
51	me	wrong	,	the	p	r	y	a
51	mean	,	are	n't	v	y	v	x
51	mean	,	i	'm	j	,	p	v
51	mean	,	i	agree	v	y	p	v
51	mean	,	i	do	j	,	p	v
51	mean	,	if	that	v	y	c	d
51	mean	,	is	he	v	,	v	p
51	mean	,	it	makes	v	,	p	v
51	mean	,	what	else	v	y	d	r
51	mean	,	would	n't	v	y	v	x
51	mean	.	"	"	v	.	"	"
51	mean	.	yeah	.	v	.	u	.
51	mean	a	thing	if	v	a	n	c
51	mean	it	is	a	v	p	v	a
51	mean	score	on	the	j	n	i	a
51	mean	that	if	you	v	c	c	p
51	mean	that	there	was	v	c	e	v
51	mean	to	me	?	v	i	p	y
51	meaning	.	<p>	"	n	y	y	y
51	means	a	lot	,	v	a	n	y
51	means	that	we	will	v	c	p	v
51	means	they	're	going	v	p	v	v
51	meant	she	had	to	v	p	v	t
51	meant	to	do	,	v	t	v	y
51	meanwhile	,	it	's	r	y	p	v
51	mears	,	detroit	news	n	,	n	n
51	measures	of	the	environment	n	i	a	n
51	media	is	trying	to	n	v	v	t
51	medical	center	,	where	j	n	,	c
51	medical	college	of	virginia	j	n	i	n
51	medical	problems	.	<p>	j	n	y	y
51	meet	her	in	the	v	p	i	a
51	meet	the	criteria	of	v	a	n	i
51	meet	you	there	,	v	p	r	,
51	meeting	new	people	,	v	j	n	y
51	member	.	<p>	the	n	y	y	a
51	member	of	the	foreign	n	i	a	j
51	members	of	our	family	n	i	a	n
51	members	of	the	crowd	n	i	a	n
51	members	of	the	old	n	i	a	j
51	members	of	the	original	n	i	a	j
51	memorial	service	will	be	n	n	v	v
51	memories	.	<p>	"	n	y	y	y
51	men	,	and	the	n	,	c	a
51	men	,	but	it	n	y	c	p
51	men	.	"	he	n	y	y	p
51	men	and	five	women	n	c	m	n
51	men	in	general	,	n	r	r	y
51	men	like	you	.	n	v	p	.
51	men	who	were	not	n	p	v	x
51	mental	illness	is	a	j	n	v	a
51	mess	,	"	he	n	y	y	p
51	mess	.	<p>	"	n	y	y	y
51	message	you	want	to	n	p	v	t
51	met	.	it	's	v	.	p	v
51	meteorologist	with	the	national	n	i	a	j
51	methods	of	data	collection	n	i	n	n
51	middle	and	lower	class	n	c	j	n
51	middle	class	.	that	j	n	y	d
51	middle	class	.	this	j	n	y	d
51	middle	class	tax	cuts	j	n	n	n
51	middle	east	,	there	j	n	y	e
51	middle	eastern	studies	at	j	j	n	i
51	middle	of	the	house	n	i	a	n
51	middle	of	the	winter	n	i	a	n
51	middle	of	the	yard	n	i	a	n
51	middle	or	high	school	n	c	j	n
51	might	actually	have	to	v	r	v	t
51	might	be	,	i	v	v	y	p
51	might	be	a	lot	v	v	r	r
51	might	be	easier	for	v	v	j	i
51	might	be	involved	.	v	v	v	y
51	might	be	more	to	v	v	r	i
51	might	be	something	else	v	v	p	r
51	might	be	thinking	about	v	v	v	i
51	might	get	it	.	v	v	p	y
51	might	have	missed	it	v	v	v	p
51	might	have	put	it	v	v	v	p
51	might	have	said	.	v	v	v	y
51	might	have	seen	him	v	v	v	p
51	might	make	it	easier	v	v	p	j
51	might	mean	for	the	v	v	i	a
51	might	never	be	able	v	r	v	j
51	might	want	to	tell	v	v	t	v
51	might	want	to	wait	v	v	t	v
51	mike	and	i	are	n	c	p	v
51	mild	traumatic	brain	injury	j	j	n	n
51	mile	or	so	from	n	c	r	i
51	miles	from	denver	via	n	i	n	i
51	miles	northeast	of	the	n	n	i	a
51	miles	on	the	odometer	n	i	a	n
51	miles	outside	of	town	n	i	i	n
51	miles	per	hour	on	n	i	n	i
51	military	.	it	is	j	y	p	v
51	military	and	economic	aid	j	c	j	n
51	million	jobs	in	the	n	n	i	a
51	million	man	march	,	m	n	n	y
51	million	people	,	or	m	n	y	c
51	million	to	more	than	m	i	d	c
51	minced	(	about	1	v	y	i	m
51	mind	,	if	you	n	y	c	p
51	mind	,	in	the	n	y	i	a
51	mind	.	<p>	but	n	y	y	c
51	mind	.	<p>	he	n	y	y	p
51	mind	?	it	's	n	?	p	v
51	mind	all	the	time	n	d	a	n
51	mind	at	all	.	n	r	r	y
51	mind	for	a	while	n	i	a	n
51	mind	if	i	talk	v	c	p	v
51	mind	off	things	.	n	i	n	.
51	mind	that	i	was	n	c	p	v
51	mind	that	this	was	n	c	d	v
51	mine	(	m	)	n	(	z	)
51	mine	)	:	<p>	n	y	y	y
51	minneapolis	(	ap	)	n	y	n	y
51	minnesota	public	radio	.	n	j	n	y
51	minority	group	in	the	n	n	i	a
51	minority	leader	harry	reid	n	n	n	n
51	minute	.	"	the	n	y	y	a
51	minute	.	i	was	n	.	p	v
51	minute	?	-	i	n	?	-	p
51	minute	later	,	the	n	r	y	a
51	minutes	.	<p>	4	n	y	y	m
51	minutes	.	<p>	per	n	y	y	i
51	minutes	.	add	1	n	y	v	m
51	minutes	.	he	's	n	.	p	v
51	minutes	.	in	a	n	y	i	a
51	minutes	.	you	can	n	y	p	v
51	minutes	from	now	.	n	i	r	.
51	minutes	or	until	set	n	c	c	v
51	miss	it	,	"	v	p	y	y
51	miss	you	.	and	v	p	.	c
51	missed	you	.	"	v	p	y	y
51	missed	you	at	the	v	p	i	a
51	misses	the	mark	.	v	a	n	y
51	missing	.	<p>	"	v	y	y	y
51	mistake	.	i	was	n	.	p	v
51	mitt	romney	and	president	n	n	c	n
51	mix	it	all	together	v	p	d	r
51	mix	of	the	two	n	i	a	m
51	mixture	of	the	two	n	i	a	m
51	mixture	on	top	of	n	i	i	i
51	mm-hmm	.	@!stewart	:	u	y	z	y
51	mmm	.	i	do	u	.	p	v
51	mmm	.	oh	.	u	.	u	.
51	model	for	the	world	n	i	a	n
51	mom	,	and	she	n	y	c	p
51	mom	,	but	i	n	y	c	p
51	mom	,	do	n't	n	y	v	x
51	mom	,	i	do	n	y	p	v
51	mom	.	i	did	n	.	p	v
51	mom	.	it	was	n	.	p	v
51	mom	.	let	's	n	.	v	v
51	mom	.	qwq	@	n	y	x	i
51	mom	?	-	what	n	?	-	d
51	mom	?	i	do	n	?	p	v
51	mom	or	dad	,	n	c	n	y
51	moment	,	"	he	n	,	"	p
51	moment	,	he	's	n	y	p	v
51	moment	,	it	was	n	,	p	v
51	moment	,	then	he	n	y	r	p
51	moment	,	then	turned	n	y	r	v
51	moment	,	you	're	n	y	p	v
51	moment	.	"	but	n	y	y	c
51	moment	.	<p>	in	n	y	y	i
51	moment	.	i	do	n	y	p	v
51	moment	to	look	at	n	t	v	i
51	mon	,	01	nov	n	y	m	n
51	monday	,	according	to	n	,	i	i
51	monday	.	i	'm	n	y	p	v
51	monday	evening	.	have	n	n	y	v
51	money	,	and	she	n	y	c	p
51	money	,	do	n't	n	y	v	x
51	money	,	even	if	n	y	c	c
51	money	,	he	's	n	y	p	v
51	money	,	there	's	n	y	e	v
51	money	,	you	're	n	,	p	v
51	money	.	"	but	n	y	y	c
51	money	.	#	"	n	y	f	y
51	money	.	he	has	n	y	p	v
51	money	.	i	'd	n	y	p	v
51	money	and	i	'm	n	c	p	v
51	money	down	the	drain	n	i	a	n
51	money	from	people	who	n	i	n	p
51	money	from	you	.	n	i	p	.
51	money	i	do	n't	n	p	v	x
51	money	into	it	.	n	i	p	y
51	money	is	the	only	n	v	a	j
51	money	is	tight	,	n	v	r	y
51	money	out	of	a	n	i	i	a
51	money	right	now	.	n	r	r	y
51	money	so	they	can	n	c	p	v
51	money	that	could	have	n	c	v	v
51	money	would	go	to	n	v	v	i
51	month	,	depending	on	n	y	i	i
51	month	.	however	,	n	y	r	y
51	month	for	the	first	n	i	a	m
51	month	later	.	<p>	n	r	y	y
51	month	of	november	.	n	i	n	y
51	month	or	two	ago	n	c	m	r
51	months	,	or	even	n	y	c	r
51	months	.	<p>	a	n	y	y	a
51	months	ago	,	a	n	r	,	a
51	months	ago	.	we	n	r	y	p
51	months	ago	when	the	n	r	c	a
51	months	in	jail	,	n	i	n	y
51	months	later	i	was	n	r	p	v
51	mood	.	<p>	"	n	y	y	y
51	mop	the	floor	with	v	a	n	i
51	moral	thing	to	do	j	n	t	v
51	moran	:	(	voice-over	n	y	y	n
51	more	!	more	!	r	!	r	!
51	more	.	hey	,	r	.	u	,
51	more	<p>	award	type	r	y	n	n
51	more	about	it	,	d	i	p	y
51	more	and	more	as	d	c	r	i
51	more	and	more	children	r	c	d	n
51	more	and	more	to	d	c	r	i
51	more	attention	in	the	d	n	i	a
51	more	complicated	than	you	r	j	c	p
51	more	concerned	about	his	r	j	i	a
51	more	dangerous	.	<p>	r	j	y	y
51	more	efficiently	,	and	r	r	y	c
51	more	energy	than	it	d	n	c	p
51	more	fun	than	the	r	j	c	a
51	more	like	one	of	r	i	m	i
51	more	likely	to	complete	r	j	t	v
51	more	minutes	.	i	d	n	.	p
51	more	of	his	work	d	i	a	n
51	more	of	the	latter	d	i	a	d
51	more	of	the	other	d	i	a	j
51	more	often	than	it	r	r	c	p
51	more	relevant	than	ever	r	j	c	r
51	more	responsibility	for	their	d	n	i	a
51	more	seriously	.	"	r	r	y	y
51	more	slowly	.	<p>	r	r	y	y
51	more	so	,	than	r	r	y	c
51	more	space	in	the	d	n	i	a
51	more	than	$200	million	d	c	m	n
51	more	than	60	countries	d	c	m	n
51	more	than	a	half-million	d	c	a	j
51	more	than	half	its	d	c	d	a
51	more	than	i	've	r	c	p	v
51	more	than	likely	,	d	c	j	,
51	more	than	one	race	d	c	m	n
51	more	than	seven	hours	d	c	m	n
51	more	than	sufficient	to	d	c	j	t
51	more	than	the	minimum	d	c	a	n
51	more	than	the	president	d	c	a	n
51	more	than	they	want	d	c	p	v
51	more	than	you	've	d	c	p	v
51	more	time	.	and	d	n	y	c
51	more	time	.	what	d	n	.	d
51	more	time	to	develop	d	n	t	v
51	more	times	than	he	d	n	c	p
51	more	to	come	,	d	t	v	y
51	more	to	do	.	r	t	v	y
51	moreover	,	if	you	r	y	c	p
51	moreover	,	there	was	r	y	e	v
51	morning	,	julie	.	n	y	n	y
51	morning	,	mom	.	n	,	n	.
51	morning	.	and	we	n	.	c	p
51	morning	.	he	said	n	y	p	v
51	morning	.	i	want	n	.	p	v
51	morning	.	now	,	n	y	r	y
51	morning	.	right	now	n	.	r	r
51	morning	and	i	was	n	c	p	v
51	most	.	<p>	i	r	y	y	p
51	most	certainly	is	not	r	r	v	x
51	most	common	cancer	in	r	j	n	i
51	most	difficult	aspect	of	r	j	n	i
51	most	important	,	they	d	j	y	p
51	most	important	issue	facing	r	j	n	v
51	most	of	its	history	d	i	z	n
51	most	of	the	1990s	d	i	a	m
51	most	of	the	heavy	d	i	a	j
51	most	of	the	older	d	i	a	j
51	most	of	the	passengers	d	i	a	n
51	most	of	the	posts	d	i	a	n
51	most	of	the	refugees	d	i	a	n
51	most	of	the	weight	d	i	a	n
51	most	of	these	countries	d	i	d	n
51	most	of	these	men	d	i	d	n
51	most	of	these	programs	d	i	d	n
51	most	of	us	still	d	i	p	r
51	most	often	used	to	r	r	v	t
51	most	part	it	's	r	r	p	v
51	most	people	would	probably	d	n	v	r
51	most	recent	fiscal	year	r	j	j	n
51	mother	's	.	"	n	g	y	y
51	mother	's	best	friend	n	g	j	n
51	mother	's	name	.	n	g	n	y
51	mother	.	"	we	n	y	y	p
51	mother	.	in	the	n	y	i	a
51	mother	and	father	's	n	c	n	g
51	mother	did	n't	know	n	v	x	v
51	mother	of	two	daughters	n	i	m	n
51	mother	used	to	do	n	v	t	v
51	mother	was	going	to	n	v	v	t
51	mothers	and	fathers	of	n	c	n	i
51	mothers	and	fathers	who	n	c	n	p
51	mothers	of	young	children	n	i	j	n
51	mountain	view	,	ca	n	n	y	n
51	mouse	.	"	i	n	y	y	p
51	mouth	.	well	,	n	.	r	,
51	mouths	to	feed	.	n	t	v	.
51	move	a	muscle	.	v	a	n	y
51	move	in	on	the	v	r	i	a
51	move	in	the	right	v	i	a	j
51	move	it	!	i	v	p	!	p
51	moved	to	the	back	v	i	a	n
51	moved	to	the	door	v	i	a	n
51	movement	,	"	he	n	y	y	p
51	movement	,	which	was	n	y	d	v
51	movement	.	<p>	in	n	y	y	i
51	moving	on	.	"	v	r	y	y
51	mr	and	mrs	james	n	c	n	n
51	mr	bin	laden	's	n	n	j	g
51	mr	brinkley	:	voice-over	n	n	y	n
51	mr	donaldson	:	they	n	n	y	p
51	mr	obama	and	mr	n	n	c	n
51	mr	president	.	<p>	n	n	y	y
51	mr	trump	.	<p>	n	n	.	n
51	mr	will	:	now	n	n	y	r
51	much	,	but	we	d	y	c	p
51	much	,	i	think	d	y	p	v
51	much	,	much	lower	r	y	r	j
51	much	.	<p>	this	d	y	y	d
51	much	.	that	was	d	.	d	v
51	much	.	when	we	d	y	c	p
51	much	.	you	've	d	.	p	v
51	much	as	he	loves	d	c	p	v
51	much	as	or	more	d	c	c	d
51	much	better	off	.	r	j	r	y
51	much	confidence	in	the	d	n	i	a
51	much	for	her	.	d	i	p	.
51	much	information	about	the	d	n	i	a
51	much	is	given	,	r	v	v	y
51	much	less	.	<p>	d	d	y	y
51	much	more	difficult	for	d	d	j	i
51	much	more	easily	than	r	r	r	c
51	much	more	inclined	to	r	r	j	t
51	much	of	a	fight	r	i	a	n
51	much	of	anything	about	d	i	p	i
51	much	of	europe	,	d	i	n	y
51	much	of	the	talk	d	i	a	n
51	much	over	the	years	d	i	a	n
51	much	time	.	<p>	d	n	y	y
51	much	to	contribute	to	d	t	v	i
51	music	,	and	he	n	y	c	p
51	music	,	theater	,	n	y	n	y
51	music	.	if	you	n	y	c	p
51	music	at	the	university	n	i	a	n
51	must	be	consistent	with	v	v	j	i
51	must	be	difficult	for	v	v	j	i
51	must	be	found	.	v	v	v	y
51	must	be	sent	to	v	v	v	i
51	must	be	signed	by	v	v	v	i
51	must	be	understood	as	v	v	v	c
51	must	live	with	the	v	v	i	a
51	must	say	i	am	v	v	p	v
51	must	take	place	in	v	v	n	i
51	muttering	under	his	breath	v	i	a	n
51	my	age	,	"	a	n	y	y
51	my	ass	,	"	a	n	y	y
51	my	ass	.	i	a	n	y	p
51	my	attention	,	and	a	n	y	c
51	my	background	is	in	a	n	v	i
51	my	bed	.	-	a	n	.	-
51	my	best	to	do	a	j	t	v
51	my	birthday	.	"	a	n	y	y
51	my	boss	told	me	a	n	v	p
51	my	brother	,	"	a	n	,	"
51	my	car	.	it	a	n	y	p
51	my	child	.	you	a	n	.	p
51	my	children	.	and	a	n	y	c
51	my	client	.	-	a	n	.	-
51	my	client	is	a	a	n	v	a
51	my	closest	friends	.	a	j	n	y
51	my	coat	.	-	a	n	.	-
51	my	dad	is	the	a	n	v	a
51	my	daughter	's	name	a	n	g	n
51	my	ear	.	i	a	n	.	p
51	my	experience	of	the	a	n	i	a
51	my	eye	.	it	a	n	y	p
51	my	eyes	at	the	a	n	i	a
51	my	face	.	the	a	n	.	a
51	my	face	and	the	a	n	c	a
51	my	family	,	you	a	n	,	p
51	my	family	for	generations	a	n	i	n
51	my	family	that	i	a	n	c	p
51	my	feet	.	-	a	n	.	-
51	my	fingers	.	<p>	a	n	y	y
51	my	first	child	.	a	m	n	y
51	my	first	choice	.	a	m	n	y
51	my	first	day	back	a	m	n	r
51	my	first	job	in	a	m	n	i
51	my	forehead	.	i	a	n	y	p
51	my	front	door	,	a	j	n	y
51	my	girl	.	"	a	n	y	y
51	my	gosh	,	this	a	u	,	d
51	my	grandfather	told	me	a	n	v	p
51	my	hand	in	his	a	n	i	p
51	my	hand	to	the	a	n	i	a
51	my	head	down	,	a	n	r	y
51	my	heart	skipped	a	a	n	v	a
51	my	heart	to	think	a	n	t	v
51	my	high	school	graduation	a	j	n	n
51	my	husband	was	n't	a	n	v	x
51	my	junior	year	,	a	j	n	y
51	my	kids	in	the	a	n	i	a
51	my	legs	.	<p>	a	n	y	y
51	my	life	,	that	a	n	y	d
51	my	life	.	for	a	n	y	i
51	my	life	.	now	a	n	y	r
51	my	life	a	lot	a	n	r	r
51	my	life	is	like	a	n	v	i
51	my	life	with	her	a	n	i	p
51	my	love	.	-	a	n	.	-
51	my	mama	used	to	a	n	v	t
51	my	mind	.	there	a	n	y	e
51	my	mom	died	.	a	n	v	.
51	my	money	,	i	a	n	y	p
51	my	mother	's	and	a	n	g	c
51	my	mother	's	brother	a	n	g	n
51	my	mother	's	dead	a	n	g	j
51	my	mother	went	to	a	n	v	i
51	my	name	is	robert	a	n	v	n
51	my	only	chance	to	a	j	n	t
51	my	own	.	what	a	d	.	d
51	my	own	experience	in	a	d	n	i
51	my	own	research	,	a	d	n	y
51	my	own	son	,	a	d	n	y
51	my	parents	.	"	a	n	.	"
51	my	parents	.	and	a	n	.	c
51	my	parents	.	my	a	n	y	a
51	my	parents	and	grandparents	a	n	c	n
51	my	parents	are	gon	a	n	v	v
51	my	parents	in	the	a	n	i	a
51	my	part	in	the	a	n	i	a
51	my	people	,	"	a	n	y	y
51	my	point	.	-	a	n	.	-
51	my	position	.	<p>	a	n	y	y
51	my	prayer	is	that	a	n	v	c
51	my	purpose	here	is	a	n	r	v
51	my	room	.	and	a	n	.	c
51	my	sister	was	a	a	n	v	a
51	my	throat	.	"	a	n	.	"
51	my	view	,	that	a	n	y	d
51	my	way	and	i	a	n	c	p
51	my	wife	used	to	a	n	v	t
51	my	witness	,	i	a	n	,	p
51	my	writing	.	i	a	n	y	p
51	my	youth	,	i	a	n	y	p
51	myself	.	are	you	p	.	v	p
